t,signal
0.71,102.627846
0.712,102.5419
0.714,102.198235
0.716,102.4476
0.718,102.59384
0.72,102.63199
0.722,102.95772
0.724,102.80697
0.726,102.55028
0.728,102.49934
0.73,102.18107
0.732,102.20813
0.734,102.48186
0.736,102.49607
0.738,102.75814
0.74,102.8388
0.742,102.505745
0.744,102.47085
0.746,102.27458
0.748,102.06548
0.75,102.407616
0.752,102.466644
0.754,102.60508
0.756,102.89726
0.758,102.5865
0.76,102.46644
0.762,102.388306
0.764,102.050125
0.766,102.298065
0.768,102.449646
0.77,102.50198
0.772,102.83849
0.774,102.70292
0.776,102.461586
0.778,102.42245
0.78,102.113495
0.782,102.14256
0.784,102.42223
0.786,102.44502
0.788,102.72466
0.79,102.804054
0.792,102.46388
0.794,102.41317
0.796,102.22289
0.798,102.03013
0.8,102.39571
0.802,102.4841
0.804,102.68866
0.806,103.06332
0.808,102.83219
0.81,102.80321
0.812,102.838135
0.814,102.63352
0.816,103.00908
0.818,103.29985
0.82,103.50076
0.822,104.00199
0.824,104.00085
0.826,103.92999
0.828,104.08113
0.83,103.95853
0.832,104.153076
0.834,104.44169
0.836,104.36035
0.838,104.55338
0.84,104.553215
0.842,104.08186
0.844,103.86621
0.846,103.465096
0.848,103.00595
0.85,103.01588
0.852,102.7513
0.854,102.71499
0.856,102.93676
0.858,102.629654
0.86,102.51646
0.862,102.420135
0.864,102.04594
0.866,102.26001
0.868,102.4199
0.87,102.502716
0.872,102.85794
0.874,102.72703
0.876,102.50995
0.878,102.48305
0.88,102.16949
0.882,102.197334
0.884,102.47554
0.886,102.48769
0.888,102.7491
0.89,102.8608
0.892,102.54037
0.894,102.507515
0.896,102.31472
0.898,102.09141
0.9,102.428055
0.902,102.48171
0.904,102.62875
0.906,102.92098
0.908,102.6071
0.91,102.4816
0.912,102.400055
0.914,102.06801
0.916,102.326385
0.918,102.49292
0.92,102.545204
0.922,102.881424
0.924,102.750534
0.926,102.54011
0.928,102.524734
0.93,102.20279
0.932,102.21848
0.934,102.50001
0.936,102.525635
0.938,102.79226
0.94,102.90391
0.942,102.57959
0.944,102.53343
0.946,102.336044
0.948,102.124565
0.95,102.46526
0.952,102.52235
0.954,102.67637
0.956,102.97987
0.958,102.68032
0.96,102.570404
0.962,102.49411
0.964,102.16205
0.966,102.41932
0.968,102.57565
0.97,102.620766
0.972,102.96831
0.974,102.84481
0.976,102.61123
0.978,102.59459
0.98,102.29931
0.982,102.329025
0.984,102.62458
0.986,102.655785
0.988,102.92684
0.99,103.04152
0.992,102.71308
0.994,102.668655
0.996,102.47437
0.998,102.26707
1,102.61833
1.002,102.703255
1.004,102.86247
1.006,103.15651
1.008,102.8506
1.01,102.736824
1.012,102.66782
1.014,102.33996
1.016,102.59532
1.018,102.76734
1.02,102.83038
1.022,103.1785
1.024,103.0569
1.026,102.83202
1.028,102.825325
1.03,102.53054
1.032,102.56252
1.034,102.865265
1.036,102.89888
1.038,103.17883
1.04,103.2993
1.042,102.97994
1.044,102.94375
1.046,102.76312
1.048,102.55999
1.05,102.91673
1.052,102.9818
1.054,103.130165
1.056,103.43277
1.058,103.13043
1.06,103.01022
1.062,102.93917
1.064,102.60238
1.066,102.84481
1.068,103.01303
1.07,103.06518
1.072,103.40664
1.074,103.276436
1.076,103.02834
1.078,103.00097
1.08,102.68764
1.082,102.69109
1.084,102.97788
1.086,103.00268
1.088,103.25913
1.09,103.36241
1.092,103.02023
1.094,102.96915
1.096,102.77533
1.098,102.5407
1.1,102.85644
1.102,102.89537
1.104,103.01346
1.106,103.2957
1.108,102.98175
1.11,102.84287
1.112,102.74968
1.114,102.38981
1.116,102.60622
1.118,102.74839
1.12,102.78713
1.122,103.110664
1.124,102.962944
1.126,102.705284
1.128,102.66256
1.13,102.33969
1.132,102.35082
1.134,102.63359
1.136,102.64284
1.138,102.88276
1.14,102.985306
1.142,102.652084
1.144,102.604454
1.146,102.41303
1.148,102.19202
1.15,102.532005
1.152,102.57543
1.154,102.70061
1.156,102.99263
1.158,102.68635
1.16,102.547806
1.162,102.467
1.164,102.13415
1.166,102.37862
1.168,102.55227
1.17,102.61075
1.172,102.93934
1.174,102.79555
1.176,102.5535
1.178,102.5258
1.18,102.21576
1.182,102.235214
1.184,102.52251
1.186,102.536415
1.188,102.79009
1.19,102.91109
1.192,102.587746
1.194,102.54733
1.196,102.36572
1.198,102.14238
1.2,102.48105
1.202,102.54471
1.204,102.683556
1.206,102.987686
1.208,102.697914
1.21,102.570625
1.212,102.4898
1.214,102.14958
1.216,102.38971
1.218,102.551315
1.22,102.605194
1.222,102.94544
1.224,102.815315
1.226,102.5717
1.228,102.54859
1.23,102.24328
1.232,102.25581
1.234,102.54893
1.236,102.56836
1.238,102.81751
1.24,102.93609
1.242,102.60278
1.244,102.553
1.246,102.37209
1.248,102.142944
1.25,102.47208
1.252,102.53155
1.254,102.670494
1.256,102.97991
1.258,102.69391
1.26,102.56545
1.262,102.48761
1.264,102.14712
1.266,102.38294
1.268,102.54047
1.27,102.587524
1.272,102.92124
1.274,102.79045
1.276,102.54382
1.278,102.51961
1.28,102.22351
1.282,102.230354
1.284,102.51094
1.286,102.52604
1.288,102.78325
1.29,102.90465
1.292,102.57296
1.294,102.521484
1.296,102.33161
1.298,102.10277
1.3,102.43885
1.302,102.50608
1.304,102.64997
1.306,102.94634
1.308,102.64021
1.31,102.5206
1.312,102.44724
1.314,102.107445
1.316,102.34449
1.318,102.50186
1.32,102.548996
1.322,102.888054
1.324,102.77102
1.326,102.519455
1.328,102.484
1.33,102.17787
1.332,102.18369
1.334,102.48856
1.336,102.51968
1.338,102.7645
1.34,102.8758
1.342,102.55317
1.344,102.5118
1.346,102.31878
1.348,102.08737
1.35,102.42902
1.352,102.485344
1.354,102.61573
1.356,102.92093
1.358,102.62367
1.36,102.50081
1.362,102.43029
1.364,102.08473
1.366,102.3035
1.368,102.476776
1.37,102.52773
1.372,102.865974
1.374,102.752914
1.376,102.49416
1.378,102.4531
1.38,102.147194
1.382,102.156395
1.384,102.454346
1.386,102.48877
1.388,102.738
1.39,102.84881
1.392,102.50873
1.394,102.4631
1.396,102.28004
1.398,102.049515
1.4,102.39433
1.402,102.45198
1.404,102.57257
1.406,102.878105
1.408,102.579926
1.41,102.44764
1.412,102.37538
1.414,102.03669
1.416,102.265045
1.418,102.439926
1.42,102.492424
1.422,102.828926
1.424,102.704994
1.426,102.466
1.428,102.44536
1.43,102.14357
1.432,102.147026
1.434,102.44033
1.436,102.462425
1.438,102.71441
1.44,102.84731
1.442,102.51731
1.444,102.46966
1.446,102.29341
1.448,102.06661
1.45,102.40047
1.452,102.452965
1.454,102.58333
1.456,102.89077
1.458,102.60722
1.46,102.49235
1.462,102.41889
1.464,102.077354
1.466,102.29997
1.468,102.45897
1.47,102.50294
1.472,102.83992
1.474,102.72669
1.476,102.48659
1.478,102.47589
1.48,102.18722
1.482,102.18339
1.484,102.48789
1.486,102.52258
1.488,102.78389
1.49,102.91676
1.492,102.582375
1.494,102.527084
1.496,102.34849
1.498,102.13589
1.5,102.47807
1.502,102.5371
1.504,102.66613
1.506,102.97858
1.508,102.69064
1.51,102.57542
1.512,102.50966
1.514,102.17742
1.516,102.42223
1.518,102.59713
1.52,102.63502
1.522,102.96816
1.524,102.86163
1.526,102.60653
1.528,102.578735
1.53,102.27371
1.532,102.267715
1.534,102.56087
1.536,102.58185
1.538,102.834404
1.54,102.96557
1.542,102.625534
1.544,102.56991
1.546,102.38153
1.548,102.141594
1.55,102.47151
1.552,102.517456
1.554,102.63476
1.556,102.93531
1.558,102.64179
1.56,102.49738
1.562,102.40793
1.564,102.058624
1.566,102.28412
1.568,102.450005
1.57,102.48248
1.572,102.80954
1.574,102.686874
1.576,102.43646
1.578,102.4037
1.58,102.09975
1.582,102.102295
1.584,102.39016
1.586,102.403275
1.588,102.647995
1.59,102.787415
1.592,102.46183
1.594,102.410736
1.596,102.22957
1.598,101.98642
1.6,102.3168
1.602,102.39672
1.604,102.54631
1.606,102.84411
1.608,102.53725
1.61,102.40306
1.612,102.32162
1.614,101.97712
1.616,102.2006
1.618,102.36112
1.62,102.40041
1.622,102.745186
1.624,102.64818
1.626,102.41097
1.628,102.4162
1.63,102.179855
1.632,102.247215
1.634,102.628174
1.636,102.7562
1.638,103.12797
1.64,103.38079
1.642,103.17442
1.644,103.25405
1.646,103.22238
1.648,103.143684
1.65,103.66446
1.652,103.91454
1.654,104.21154
1.656,104.71115
1.658,104.57413
1.66,104.440735
1.662,104.2797
1.664,103.86817
1.666,103.97796
1.668,103.98409
1.67,103.848076
1.672,103.98055
1.674,103.621216
1.676,103.02279
1.678,102.66768
1.68,102.189995
1.682,102.12637
1.684,102.436226
1.686,102.47545
1.688,102.71472
1.69,102.82097
1.692,102.48909
1.694,102.4646
1.696,102.303566
1.698,102.07731
1.7,102.4357
1.702,102.517456
1.704,102.64932
1.706,102.9608
1.708,102.67149
1.71,102.52671
1.712,102.44583
1.714,102.100464
1.716,102.31731
1.718,102.49228
1.72,102.5453
1.722,102.88572
1.724,102.7763
1.726,102.520004
1.728,102.492325
1.73,102.192276
1.732,102.186264
1.734,102.49304
1.736,102.52921
1.738,102.77921
1.74,102.9102
1.742,102.57591
1.744,102.5299
1.746,102.36265
1.748,102.11503
1.75,102.4513
1.752,102.51698
1.754,102.65006
1.756,102.96816
1.758,102.68049
1.76,102.54435
1.762,102.46532
1.764,102.12288
1.766,102.353905
1.768,102.539154
1.77,102.59597
1.772,102.934044
1.774,102.82252
1.776,102.57243
1.778,102.55326
1.78,102.260445
1.782,102.26018
1.784,102.57165
1.786,102.59847
1.788,102.84199
1.79,102.986565
1.792,102.65253
1.794,102.611275
1.796,102.443214
1.798,102.202286
1.8,102.54151
1.802,102.623405
1.804,102.759186
1.806,103.070206
1.808,102.78882
1.81,102.669044
1.812,102.61442
1.814,102.276726
1.816,102.50322
1.818,102.67817
1.82,102.73303
1.822,103.09047
1.824,102.99811
1.826,102.75168
1.828,102.729294
1.83,102.44066
1.832,102.42793
1.834,102.73804
1.836,102.77342
1.838,103.02729
1.84,103.18274
1.842,102.872505
1.844,102.83291
1.846,102.670715
1.848,102.44428
1.85,102.79273
1.852,102.87074
1.854,103.00547
1.856,103.32972
1.858,103.04858
1.86,102.93521
1.862,102.88357
1.864,102.54442
1.866,102.76763
1.868,102.95593
1.87,103.02996
1.872,103.39258
1.874,103.303856
1.876,103.04949
1.878,103.02446
1.88,102.72907
1.882,102.71353
1.884,103.0208
1.886,103.05268
1.888,103.30722
1.89,103.44767
1.892,103.111855
1.894,103.06601
1.896,102.88929
1.898,102.64961
1.9,102.989784
1.902,103.055115
1.904,103.17883
1.906,103.48699
1.908,103.19022
1.91,103.05857
1.912,102.99682
1.914,102.64808
1.916,102.856255
1.918,103.019516
1.92,103.046906
1.922,103.36523
1.924,103.251434
1.926,102.96912
1.928,102.92701
1.93,102.61314
1.932,102.56731
1.934,102.84583
1.936,102.852745
1.938,103.08645
1.94,103.21022
1.942,102.863045
1.944,102.79645
1.946,102.6045
1.948,102.33562
1.95,102.653595
1.952,102.69687
1.954,102.80246
1.956,103.10242
1.958,102.79808
1.96,102.642815
1.962,102.565384
1.964,102.21338
1.966,102.421616
1.968,102.60111
1.97,102.64367
1.972,102.97034
1.974,102.861946
1.976,102.60607
1.978,102.58342
1.98,102.27863
1.982,102.25568
1.984,102.54628
1.986,102.56164
1.988,102.799034
1.99,102.94348
1.992,102.60873
1.994,102.5567
1.996,102.38778
1.998,102.13528
2,102.465126
2.002,102.52647
2.004,102.64906
2.006,102.970695
2.008,102.69627
2.01,102.54881
2.012,102.46963
2.014,102.12617
2.016,102.34282
2.018,102.52342
2.02,102.57131
2.022,102.90479
2.024,102.80716
2.026,102.54897
2.028,102.52449
2.03,102.23221
2.032,102.2107
2.034,102.5139
2.036,102.52928
2.038,102.76257
2.04,102.9133
2.042,102.58042
2.044,102.5258
2.046,102.3426
2.048,102.09463
2.05,102.44081
2.052,102.51472
2.054,102.639854
2.056,102.95333
2.058,102.66115
2.06,102.51862
2.062,102.4569
2.064,102.11829
2.066,102.34062
2.068,102.5242
2.07,102.56171
2.072,102.89468
2.074,102.811806
2.076,102.54924
2.078,102.51734
2.08,102.22563
2.082,102.195305
2.084,102.50927
2.086,102.55593
2.088,102.809425
2.09,102.95183
2.092,102.60917
2.094,102.54418
2.096,102.37235
2.098,102.12151
2.1,102.45702
2.102,102.52587
2.104,102.641335
2.106,102.960915
2.108,102.67448
2.11,102.53701
2.112,102.47378
2.114,102.12979
2.116,102.33552
2.118,102.52136
2.12,102.56802
2.122,102.90474
2.124,102.81341
2.126,102.54544
2.128,102.51419
2.13,102.21833
2.132,102.19275
2.134,102.50377
2.136,102.53333
2.138,102.7794
2.14,102.92904
2.142,102.58517
2.144,102.52678
2.146,102.35931
2.148,102.101555
2.15,102.43294
