iter	MultiClass
257	0.1977823849
258	0.1972387949
259	0.1964914034
260	0.1961515864
261	0.1958569472
262	0.1951659974
263	0.1944815669
264	0.1939080923
265	0.1931722302
266	0.1927945126
267	0.1922236243
268	0.1916692264
269	0.1912132986
270	0.1905688246
271	0.1897922225
272	0.1891768212
273	0.1887985403
274	0.188273639
275	0.1880780707
276	0.1871688297
277	0.1867616315
278	0.1863649677
279	0.1857948148
280	0.1852337383
281	0.1849796558
282	0.1847628992
283	0.1844005584
284	0.1840726691
285	0.1831509047
286	0.1825557915
287	0.1820145061
288	0.1815439534
289	0.1811174888
290	0.1807869198
291	0.1801672944
292	0.1798293926
293	0.1792939649
294	0.1784162702
295	0.1780044764
296	0.1778589163
297	0.1773594355
298	0.1768936448
299	0.1761722322
300	0.175859207
301	0.1752352259
302	0.1748494104
303	0.1743391139
304	0.1739267232
305	0.17342827
306	0.1731684138
307	0.1728487548
308	0.172465666
309	0.1719312116
310	0.1711818516
311	0.1705850988
312	0.1700775658
313	0.169879228
314	0.1691755177
315	0.1690131003
316	0.1687892825
317	0.1685808366
318	0.1681485464
319	0.1677264201
320	0.1675322453
321	0.1671335759
322	0.1663113923
323	0.1657368227
324	0.1654865577
325	0.1650808805
326	0.1648695241
327	0.1644847341
328	0.1642760761
329	0.1640348733
330	0.1633937837
331	0.1630557068
332	0.1625596801
333	0.1618216433
334	0.1611114316
335	0.1605929525
336	0.1602050888
337	0.1600044453
338	0.1595494093
339	0.1591408236
340	0.1587439157
341	0.1583211093
342	0.1578863065
343	0.1574120448
344	0.1566242193
345	0.1563461722
346	0.1557359162
347	0.1553221809
348	0.1547675673
349	0.1544515802
350	0.1540582962
351	0.1537491739
352	0.1535984288
353	0.153418188
354	0.1531067947
355	0.1527222631
356	0.1524375949
357	0.1521006791
358	0.1517043814
359	0.1513337471
360	0.1504747384
361	0.1501824849
362	0.1499902137
363	0.1492910701
364	0.149110746
365	0.148668519
366	0.1483305555
367	0.1480860042
368	0.1478519025
369	0.1477073893
370	0.1472358117
371	0.1468705
372	0.1466168291
373	0.1463738067
374	0.1460915284
375	0.1457303199
376	0.1452948495
377	0.1450051398
378	0.1447713443
379	0.144346597
380	0.1438608875
381	0.1435551459
382	0.1433429788
383	0.1431657425
384	0.1425931219
385	0.1423844866
386	0.1421352077
387	0.141891387
388	0.1413764192
389	0.1412345374
390	0.1410563799
391	0.1409061043
392	0.140385998
393	0.1400167151
394	0.1396767923
395	0.1394292086
396	0.1388680947
397	0.1384994405
398	0.13826422
399	0.1379647677
400	0.1376627893
401	0.1374059422
402	0.1370659777
403	0.1367970359
404	0.136631057
405	0.136444762
406	0.1361137406
407	0.1357050726
408	0.135387625
409	0.1352014306
410	0.1350545187
411	0.1348876093
412	0.1345234662
413	0.1342903863
414	0.1341027078
415	0.1338854007
416	0.1337088547
417	0.1334209189
418	0.1331921572
419	0.1330480577
420	0.1327787153
421	0.1326217575
422	0.1323751561
423	0.1320075048
424	0.1316848035
425	0.1312987601
426	0.1311350235
427	0.1308238216
428	0.1304444973
429	0.1301751163
430	0.1300124316
431	0.1297200307
432	0.1295714938
433	0.1292359618
434	0.1287811171
435	0.1284795094
436	0.1283663018
437	0.1281701482
438	0.1279127258
439	0.1274720387
440	0.1273354471
441	0.1270907434
442	0.1268420614
443	0.1264681188
444	0.1262717902
445	0.1260684832
446	0.1257915391
447	0.1256623292
448	0.1252026275
449	0.1250008113
450	0.1248400207
451	0.124522282
452	0.1243627212
453	0.1241733257
454	0.1240018789
455	0.1238202132
456	0.1236046661
457	0.123310756
458	0.1228928808
459	0.1225724947
460	0.1221357595
461	0.1217336505
462	0.1213852406
463	0.1210712943
464	0.120641643
465	0.1204416631
466	0.120167431
467	0.1196088401
468	0.119273969
469	0.1191124475
470	0.1189194503
471	0.1187918
472	0.1186516326
473	0.1183991099
474	0.118110484
475	0.1177721791
476	0.1175130495
477	0.1172565556
478	0.1170753146
479	0.116921724
480	0.116745775
481	0.1163892238
482	0.1160588943
483	0.1159586037
484	0.1155400057
485	0.1154407355
486	0.1152182294
487	0.1151087258
488	0.1149989932
489	0.1148116796
490	0.1145971718
491	0.1144820135
492	0.1141198463
493	0.1138549025
494	0.113498845
495	0.1133478658
496	0.1129792709
497	0.1127275479
498	0.1123575141
499	0.1121746247
500	0.1119884253
501	0.1118797713
502	0.1116288933
503	0.1113528944
504	0.1111416576
505	0.1107273107
506	0.1106177743
507	0.1104882288
508	0.1102819363
509	0.1099846344
510	0.1098264243
511	0.109588654
512	0.1093983567
513	0.10920446
514	0.109046683
515	0.108892174
516	0.1086476963
517	0.1084364508
518	0.1082910227
519	0.1080399761
520	0.1077136298
521	0.1075649872
522	0.1074218058
523	0.1072323584
524	0.106892989
525	0.106567044
526	0.106379994
527	0.1063117349
528	0.1061893862
529	0.1060222872
530	0.1059344638
531	0.1057425879
532	0.1055125819
533	0.1053426855
534	0.1051152587
535	0.1050039956
536	0.1048221569
537	0.1046630371
538	0.1045686927
539	0.1043258053
540	0.1040830526
541	0.1039469709
542	0.1037724065
543	0.1035934339
544	0.1032712896
545	0.1031839676
546	0.1029190421
547	0.1027353092
548	0.1025169348
549	0.1021698008
550	0.1021049658
551	0.1019771545
552	0.1018064394
553	0.1015068146
554	0.101406328
555	0.1011781718
556	0.1010409849
557	0.1009476534
558	0.1007917372
559	0.1007404766
560	0.100488491
561	0.100218935
562	0.1001112976
563	0.09992235078
564	0.09964822128
565	0.09943261425
566	0.09923594742
567	0.0990852936
568	0.09891785656
569	0.09875641385
570	0.09859548388
571	0.09847232547
572	0.09840757714
573	0.09822262332
574	0.09803599321
575	0.09784939811
576	0.09756964327
577	0.09741613109
578	0.09730201847
579	0.0970307611
580	0.0969772245
581	0.09689004646
582	0.09669886993
583	0.09647505141
584	0.096249724
585	0.09596620361
586	0.09564874507
587	0.09548356228
588	0.09528617491
589	0.09510435579
590	0.09479492421
591	0.09447482425
592	0.09439382206
593	0.0940509007
594	0.09395378145
595	0.09378295607
596	0.09368766878
597	0.09360589836
598	0.09332132186
599	0.09319484916
600	0.0930465943
601	0.09288490746
602	0.0927576748
603	0.09262629735
604	0.09234806407
605	0.09214197843
606	0.09201882931
607	0.09180933591
608	0.09149554922
609	0.09138626336
610	0.09122854707
611	0.09104835756
612	0.09088374869
613	0.09072653026
614	0.09051313315
615	0.09042565428
616	0.09029588559
617	0.0901307841
618	0.08994437702
619	0.08987174225
620	0.08966676042
621	0.08944397418
622	0.08914952309
623	0.08902951527
624	0.08889634749
625	0.08875445426
626	0.08862780473
627	0.08854254677
628	0.08838987541
629	0.08821078251
630	0.08806536923
631	0.08782459718
632	0.08765669993
633	0.08746641053
634	0.08732619135
635	0.08722732197
