iter	Passed	Remaining
398	64609	97319
399	64733	97099
400	64875	96908
401	65024	96728
402	65142	96500
403	65260	96275
404	65380	96053
405	65549	95903
406	65726	95763
407	65863	95566
408	66040	95427
409	66261	95351
410	66421	95187
411	66680	95165
412	66903	95090
413	67046	94901
414	67192	94717
415	67337	94530
416	67459	94313
417	67682	94236
418	67888	94136
419	68062	93991
420	68222	93826
421	68357	93626
422	68513	93456
423	68662	93277
424	68881	93192
425	69073	93070
426	69201	92862
427	69338	92666
428	69458	92449
429	69654	92332
430	69873	92245
431	70049	92101
432	70217	91947
433	70559	92020
434	70667	91786
435	70778	91557
436	70889	91328
437	71023	91130
438	71151	90924
439	71256	90689
440	71360	90454
441	71467	90224
442	71592	90016
443	71725	89817
444	71839	89597
445	71968	89396
446	72111	89212
447	72278	89057
448	72396	88842
449	72526	88643
450	72688	88483
451	72806	88269
452	72912	88041
453	73016	87812
454	73138	87605
455	73256	87393
456	73373	87181
457	73507	86988
458	73634	86789
459	73829	86668
460	74002	86523
461	74151	86349
462	74284	86157
463	74400	85944
464	74528	85747
465	74674	85571
466	74794	85365
467	74907	85151
468	75030	84949
469	75147	84741
470	75262	84530
471	75381	84325
472	75486	84104
473	75599	83892
474	75741	83713
475	75883	83535
476	76026	83358
477	76138	83146
478	76247	82932
479	76359	82723
480	76467	82508
481	76571	82290
482	76691	82089
483	76797	81875
484	76917	81675
485	77030	81467
486	77137	81255
487	77254	81053
488	77359	80839
489	77472	80635
490	77581	80425
491	77696	80223
492	77821	80031
493	77935	79828
494	78039	79615
495	78159	79420
496	78286	79231
497	78440	79070
498	78570	78885
499	78730	78730
500	78841	78527
501	78948	78319
502	79061	78118
503	79171	77914
504	79279	77709
505	79397	77514
506	79587	77389
507	79738	77226
508	79850	77027
509	79970	76834
510	80109	76660
511	80234	76473
512	80342	76270
513	80500	76115
514	80735	76032
515	80887	75870
516	81030	75701
517	81185	75543
518	81386	75427
519	81547	75274
520	81703	75117
521	81845	74946
522	81992	74781
523	82143	74619
524	82291	74454
525	82443	74293
526	82583	74121
527	82738	73962
528	82891	73803
529	83029	73630
530	83179	73467
531	83315	73292
532	83445	73112
533	83584	72940
534	83723	72769
535	83871	72605
536	84019	72441
537	84157	72269
538	84302	72102
539	84452	71941
540	84600	71777
541	84770	71632
542	84914	71465
543	85052	71293
544	85189	71121
545	85326	70949
546	85472	70784
547	85640	70637
548	85891	70559
549	86089	70437
550	86277	70305
551	86554	70246
552	86874	70222
553	87032	70066
554	87316	70010
555	87499	69873
556	87759	69798
557	87901	69627
558	88042	69457
559	88160	69268
560	88286	69086
561	88443	68928
562	88629	68794
563	88770	68624
564	88875	68425
565	89010	68252
566	89158	68087
567	89305	67922
568	89454	67759
569	89634	67619
570	89952	67582
571	90260	67537
572	90530	67463
573	90766	67363
574	91000	67260
575	91265	67181
576	91418	67019
577	91604	66881
578	91817	66762
579	92026	66639
580	92175	66474
581	92321	66306
582	92444	66122
583	92578	65946
584	92726	65780
585	92838	65589
586	92949	65397
587	93101	65234
588	93403	65176
589	93577	65028
590	93800	64914
591	94031	64805
592	94152	64620
593	94308	64459
594	94446	64287
595	94594	64121
596	94721	63940
597	94887	63787
598	95030	63617
599	95142	63428
600	95263	63245
601	95373	63054
602	95499	62874
603	95621	62692
604	95725	62498
605	95831	62306
606	95933	62112
607	96060	61934
608	96202	61765
609	96342	61596
610	96484	61428
611	96595	61240
612	96703	61051
613	96802	60856
614	96907	60665
615	97007	60471
616	97111	60281
617	97254	60115
618	97356	59923
619	97461	59734
620	97570	59547
621	97679	59361
622	97797	59180
623	97900	58991
624	98025	58815
625	98126	58625
626	98232	58438
627	98347	58256
628	98454	58070
629	98568	57889
630	98721	57731
631	98835	57550
632	98939	57362
633	99039	57174
634	99147	56990
635	99253	56805
